EXP,Participant ID,Object,Emotion Felt,Intensity,Familiarity,Comfort During Grasping,Would React Same Way Again
SEE,ID01,Dog Toy,Neutral,Moderate,Somewhat familiar,Neutral,Maybe
,ID01,Donut,Neutral,Moderate,Somewhat familiar,Uncomfortable,No
,ID01,Plush,Happiness,Low,Somewhat familiar,Very comfortable,No
,ID01,Spider,Fear,High,Very familiar,Uncomfortable,Maybe
,ID01,Cube,Neutral,Low,Very familiar,Comfortable,Yes
,ID02,Dog Toy,Neutral,Low,Very familiar,Neutral,No
,ID02,Donut,Disgust,High,Very familiar,Uncomfortable,No
,ID02,Plush,Happiness,Moderate,Not familiar at all,Comfortable,Yes
,ID02,Spider,Sadness,Moderate,Very familiar,Uncomfortable,Yes
,ID02,Cube,Nervousness,Low,Very familiar,Neutral,Maybe
,ID03,Dog Toy,Neutral,Moderate,Not familiar at all,Neutral,No
,ID03,Donut,Disgust,Moderate,Not familiar at all,Very uncomfortable,No
,ID03,Plush,Happiness,Moderate,Very familiar,Very comfortable,Maybe
,ID03,Spider,Fear,High,Very familiar,Very uncomfortable,Maybe
,ID03,Cube,Neutral,Low,Very familiar,Comfortable,No
,ID04,Dog Toy,Sadness,High,Very familiar,Uncomfortable,Yes
,ID04,Donut,Happiness,Moderate,Somewhat familiar,Uncomfortable,Maybe
,ID04,Plush,Happiness,Low,Somewhat familiar,Comfortable,No
,ID04,Spider,Fear,High,Somewhat familiar,Uncomfortable,No
,ID04,Cube,Nervousness,High,Very familiar,Very comfortable,Maybe
,ID05,Dog Toy,Happiness,Moderate,Somewhat familiar,Very comfortable,Yes
,ID05,Donut,Neutral,Low,Very familiar,Uncomfortable,Maybe
,ID05,Plush,Happiness,Low,Somewhat familiar,Very comfortable,Maybe
,ID05,Spider,Fear,Low,Very familiar,Very uncomfortable,Maybe
,ID05,Cube,Surprise,Low,Very familiar,Neutral,Maybe
,ID06,Dog Toy,Neutral,Low,Very familiar,Uncomfortable,Maybe
,ID06,Donut,Happiness,Moderate,Very familiar,Very uncomfortable,No
,ID06,Plush,Happiness,Low,Not familiar at all,Very comfortable,No
,ID06,Spider,Disgust,High,Not familiar at all,Neutral,Maybe
,ID06,Cube,Neutral,Moderate,Somewhat familiar,Very comfortable,Maybe
,ID07,Dog Toy,Fear,High,Very familiar,Uncomfortable,Maybe
,ID07,Donut,Disgust,High,Very familiar,Very uncomfortable,No
,ID07,Plush,Surprise,Moderate,Very familiar,Very comfortable,Maybe
,ID07,Spider,Nervousness,Moderate,Very familiar,Very uncomfortable,No
,ID07,Cube,Neutral,High,Somewhat familiar,Very comfortable,Maybe
,ID08,Dog Toy,Happiness,Moderate,Very familiar,Neutral,Maybe
,ID08,Donut,Boredom,High,Very familiar,Very uncomfortable,No
,ID08,Plush,Happiness,High,Not familiar at all,Neutral,Maybe
,ID08,Spider,Nervousness,Moderate,Very familiar,Neutral,Yes
